API10,Continous Injected (bbl),Cyclic Injected (bbl),Days Well Injected,Days Well Produced,Field Name,Gas Produced (Mcf),Latitude,Lease Name,Longitude,Month,Oil Produced (bbl),Operator Name,Pool Code,Range,Section,Spud,Total Steam Injected (bbl),Township,Water Injected (bbl),Water Produced (bbl),Well,Well Type Inj,Well Type Prod
0401900021,,,,10.0,Coalinga,0.0,36.148360186,,-120.4023592,1999-12-01,37.0,Chevron U.S.A. Inc.,05,14E,36,1977-03-01,,20S,,10.0,158,,OG
0401900021,,,,30.0,Coalinga,0.0,36.148360186,,-120.4023592,1999-11-01,96.0,Chevron U.S.A. Inc.,05,14E,36,1977-03-01,,20S,,26.0,158,,OG
0401900021,,,,31.0,Coalinga,0.0,36.148360186,,-120.4023592,1999-10-01,70.0,Chevron U.S.A. Inc.,05,14E,36,1977-03-01,,20S,,19.0,158,,OG
0401900021,,,,30.0,Coalinga,0.0,36.148360186,,-120.4023592,1999-09-01,85.0,Chevron U.S.A. Inc.,05,14E,36,1977-03-01,,20S,,23.0,158,,OG
0401900021,,,,31.0,Coalinga,0.0,36.148360186,,-120.4023592,1999-08-01,146.0,Chevron U.S.A. Inc.,05,14E,36,1977-03-01,,20S,,37.0,158,,OG
0401900021,,,,31.0,Coalinga,0.0,36.148360186,,-120.4023592,1999-07-01,256.0,Chevron U.S.A. Inc.,05,14E,36,1977-03-01,,20S,,69.0,158,,OG
0401900021,,,,30.0,Coalinga,0.0,36.148360186,,-120.4023592,1999-06-01,138.0,Chevron U.S.A. Inc.,05,14E,36,1977-03-01,,20S,,36.0,158,,OG
0401900021,,,,14.0,Coalinga,0.0,36.148360186,,-120.4023592,1999-05-01,168.0,Chevron U.S.A. Inc.,05,14E,36,1977-03-01,,20S,,45.0,158,,OG
0401900021,,,,4.0,Coalinga,0.0,36.148360186,,-120.4023592,1998-11-01,54.0,Chevron U.S.A. Inc.,05,14E,36,1977-03-01,,20S,,15.0,158,,OG
0401900021,,,,31.0,Coalinga,0.0,36.148360186,,-120.4023592,1998-10-01,457.0,Chevron U.S.A. Inc.,05,14E,36,1977-03-01,,20S,,118.0,158,,OG
0401900021,,,,30.0,Coalinga,0.0,36.148360186,,-120.4023592,1998-09-01,251.0,Chevron U.S.A. Inc.,05,14E,36,1977-03-01,,20S,,65.0,158,,OG
0401900021,,,,15.0,Coalinga,0.0,36.148360186,,-120.4023592,1998-08-01,90.0,Chevron U.S.A. Inc.,05,14E,36,1977-03-01,,20S,,30.0,158,,OG
0401900021,,,,26.0,Coalinga,0.0,36.148360186,,-120.4023592,1997-05-01,25.0,Chevron U.S.A. Inc.,05,14E,36,1977-03-01,,20S,,78.0,158,,OG
0401900021,,,,30.0,Coalinga,0.0,36.148360186,,-120.4023592,1997-04-01,30.0,Chevron U.S.A. Inc.,05,14E,36,1977-03-01,,20S,,90.0,158,,OG
0401900021,,,,31.0,Coalinga,0.0,36.148360186,,-120.4023592,1997-03-01,32.0,Chevron U.S.A. Inc.,05,14E,36,1977-03-01,,20S,,93.0,158,,OG
0401900021,,,,14.0,Coalinga,0.0,36.148360186,,-120.4023592,1992-02-01,14.0,Chevron U.S.A. Inc.,05,14E,36,1977-03-01,,20S,,42.0,158,,OG
0401900021,,,,31.0,Coalinga,0.0,36.148360186,,-120.4023592,1992-01-01,98.0,Chevron U.S.A. Inc.,05,14E,36,1977-03-01,,20S,,195.0,158,,OG
0401900021,,,,13.0,Coalinga,0.0,36.148360186,,-120.4023592,1991-12-01,67.0,Chevron U.S.A. Inc.,05,14E,36,1977-03-01,,20S,,117.0,158,,OG
0401900021,,,,11.0,Coalinga,0.0,36.148360186,,-120.4023592,1991-05-01,55.0,Chevron U.S.A. Inc.,05,14E,36,1977-03-01,,20S,,99.0,158,,OG
0401900021,,,,30.0,Coalinga,0.0,36.148360186,,-120.4023592,1991-04-01,155.0,Chevron U.S.A. Inc.,05,14E,36,1977-03-01,,20S,,270.0,158,,OG
0401900021,,,,31.0,Coalinga,0.0,36.148360186,,-120.4023592,1991-03-01,155.0,Chevron U.S.A. Inc.,05,14E,36,1977-03-01,,20S,,270.0,158,,OG
